Wall time,Step,Value
1681430617.1543634,2019,0.030371151864528656
1681431839.4866304,3029,0.0018005621386691928
1681432961.8341548,4039,0.0017311230767518282
1681434080.857678,5049,0.0016996822087094188
1681435173.8957486,6059,0.0016841341275721788
1681436296.2931707,7069,0.0016736916732043028
1681437392.7619088,8079,0.0016611360479146242
1681438492.5147128,9089,0.001659975852817297
1681439648.2392263,10099,0.001648411387577653
1681440726.4680204,11109,0.0016129199648275971
1681441787.9307497,12119,0.0016114974860101938
1681442922.5460527,13129,0.001559255295433104
1681444007.4375513,14139,0.0015415521338582039
1681445150.8436038,15149,0.0015078418655321002
1681446298.2106996,16159,0.0015187683748081326
1681447427.4700277,17169,0.0014204037142917514
1681448570.9286523,18179,0.0013983933022245765
1681449639.7554882,19189,0.0012893170351162553
1681450705.2285044,20199,0.0008641057065688074
1681451846.0734513,21209,0.0006180536583997309
1681452981.6478736,22219,0.0005974862724542618
1681454044.2429948,23229,0.0004903411609120667
1681455130.8449144,24239,0.000465903605800122
1681456202.9377012,25249,0.0004969681613147259
1681457279.4741166,26259,0.0004038614861201495
1681458434.6957712,27269,0.00040543259819969535
1681459562.7493432,28279,0.0004063787928316742
1681460692.5171204,29289,0.0004154266498517245
1681461766.2942293,30299,0.0003728228039108217
1681462847.552156,31309,0.00035881815711036325
1681463937.230446,32319,0.00034545082598924637
1681465006.3352873,33329,0.0003583297657314688
1681466074.9570205,34339,0.0003432148660067469
1681467214.8585331,35349,0.00031289953039959073
1681468310.0368094,36359,0.00030245320522226393
1681469478.2110922,37369,0.0002872371696867049
1681470540.2656755,38379,0.0002867586154025048
1681471661.9598053,39389,0.0002901911793742329
1681472771.4173841,40399,0.00028190287412144244
1681473864.1867013,41409,0.0003079935268033296
1681474993.2235525,42419,0.00028187630232423544
1681476110.7195828,43429,0.00026749118114821613
1681477181.3983803,44439,0.0003319449897389859
1681478265.1574228,45449,0.0002666611107997596
1681479337.7525802,46459,0.0002694888971745968
1681480415.1035924,47469,0.0002635991550050676
1681481486.828935,48479,0.0002526321040932089
1681482616.202788,49489,0.00025209682644344866
