Wall time,Step,Value
1684184359.8944705,58637,1.2587871424329933e-05
1684184754.4921224,59648,1.2290129234315827e-05
1684185150.0524585,60659,1.261788474948844e-05
1684185544.6025107,61670,1.2363270798232406e-05
1684185938.549911,62681,1.2155956028436776e-05
1684186334.1270945,63692,1.1944158359256107e-05
1684186729.7032084,64703,1.1541496860445477e-05
1684187126.1077008,65714,1.2017516382911708e-05
1684187524.9510026,66725,1.1535575140442234e-05
1684187923.6132488,67736,1.1757551874325145e-05
1684188319.2963097,68747,1.1741947673726827e-05
1684188713.3822372,69758,1.114651604439132e-05
1684189109.2947838,70769,1.1189826182089746e-05
1684189504.3926437,71780,1.1208448995603248e-05
1684189901.1526344,72791,1.1033537703042384e-05
1684190297.8509903,73802,1.1678667760861572e-05
1684190692.7875147,74813,1.1147770237585064e-05
1684191091.1350105,75824,1.1165053365402855e-05
1684191485.693123,76835,1.0866154298128095e-05
1684191881.320991,77846,1.040270126395626e-05
1684192276.8363092,78857,1.0877061868086457e-05
1684192672.4808736,79868,1.0501787983230315e-05
1684193069.461073,80879,1.0432765520818066e-05
1684193465.913768,81890,1.076174794434337e-05
1684193861.0501409,82901,1.0381373613199685e-05
1684194255.914107,83912,1.0865740478038788e-05
1684194651.6048894,84923,1.0396739526186138e-05
1684195047.756465,85934,1.0095334801007994e-05
1684195444.5447416,86945,1.0461850251886062e-05
1684195840.445664,87956,1.0128434951184317e-05
1684196234.604497,88967,9.866379514278378e-06
1684196629.3263159,89978,1.0353421203035396e-05
1684197024.7426212,90989,9.849161870079115e-06
1684197418.2847304,92000,1.0346919225412421e-05
1684197813.295725,93011,9.88484771369258e-06
1684198206.7162383,94022,9.82711571850814e-06
1684198601.1142914,95033,1.0376562386227306e-05
1684198996.1827397,96044,9.621214303479064e-06
1684199390.5307894,97055,9.878714081423823e-06
1684199785.801035,98066,9.69907341641374e-06
1684200182.6774316,99077,9.871380825643428e-06
1684200577.6422799,100088,9.650321771914605e-06
1684200971.5467339,101099,9.508705261396244e-06
1684201366.359833,102110,9.237947779183742e-06
1684201760.285572,103121,9.489977855992038e-06
1684202155.98017,104132,9.473583304497879e-06
1684202551.082893,105143,9.669483915786259e-06
1684202946.3110855,106154,9.199150554195512e-06
1684203341.3456619,107165,9.070243322639726e-06
